 time_between_2_SV	 jitter
4	246.000000
5	245.000000
10	240.000000
4	246.000000
5	245.000000
5	245.000000
4	246.000000
4	246.000000
5	245.000000
4	246.000000
5	245.000000
4	246.000000
5	245.000000
4	246.000000
4	246.000000
4	246.000000
5	245.000000
4	246.000000
4	246.000000
1407	1157.000000
6	244.000000
6	244.000000
4	246.000000
4	246.000000
5	245.000000
4	246.000000
5	245.000000
5	245.000000
6	244.000000
4	246.000000
5	245.000000
5	245.000000
5	245.000000
4	246.000000
5	245.000000
5	245.000000
1421	1171.000000
7	243.000000
6	244.000000
4	246.000000
5	245.000000
4	246.000000
5	245.000000
77	173.000000
6	244.000000
5	245.000000
6	244.000000
5	245.000000
5	245.000000
5	245.000000
5	245.000000
5	245.000000
4	246.000000
6	244.000000
5	245.000000
5	245.000000
4	246.000000
6	244.000000
25	225.000000
1256	1006.000000
6	244.000000
5	245.000000
5	245.000000
4	246.000000
5	245.000000
9	241.000000
5	245.000000
4	246.000000
5	245.000000
4	246.000000
4	246.000000
5	245.000000
5	245.000000
4	246.000000
5	245.000000
4	246.000000
4	246.000000
4	246.000000
1223	973.000000
6	244.000000
4	246.000000
5	245.000000
4	246.000000
5	245.000000
81	169.000000
7	243.000000
5	245.000000
5	245.000000
5	245.000000
4	246.000000
5	245.000000
4	246.000000
4	246.000000
5	245.000000
4	246.000000
5	245.000000
5	245.000000
4	246.000000
4	246.000000
1467	1217.000000
201	49.000000
7	243.000000
5	245.000000
5	245.000000
5	245.000000
4	246.000000
5	245.000000
5	245.000000
4	246.000000
5	245.000000
5	245.000000
4	246.000000
5	245.000000
5	245.000000
4	246.000000
6	244.000000
5	245.000000
5	245.000000
5	245.000000
5	245.000000
5	245.000000
5	245.000000
5	245.000000
1396	1146.000000
7	243.000000
5	245.000000
5	245.000000
5	245.000000
4	246.000000
5	245.000000
4	246.000000
5	245.000000
4	246.000000
6	244.000000
5	245.000000
5	245.000000
5	245.000000
4	246.000000
5	245.000000
5	245.000000
4	246.000000
4	246.000000
5	245.000000
1439	1189.000000
7	243.000000
6	244.000000
4	246.000000
5	245.000000
6	244.000000
12	238.000000
5	245.000000
6	244.000000
6	244.000000
6	244.000000
5	245.000000
5	245.000000
6	244.000000
6	244.000000
6	244.000000
4	246.000000
